Ask,AskVolume,AveragePrice,Bid,BidVolume,Change,ClosePrice,High,HighFiftyTwo,ID,Last,LastTradedDate,LastTradedQuantity,LogoUrl,Low,LowFiftyTwo,MID,Name,OpenPrice,PercentageChange,PreviousClose,Price,Sector,Symbol,TOP,TOV,Trades,Value,Volume,statusIndicator,statusIndicatorOth
2.49,22000,2.26,2.25,2222,-0.23,2.26,2.26,3.9,RAPCO,2.26,"Thu, 27 Jan 2022 08:01:58 GMT",12600,AER000201015,2.26,1.3,510,Ras Al Khaimah Poultry & Feeding Co.,2.26,-9.24,2.49,2.26,Consumer Staples,RAPCO,,,1,28476,12600, , 
7.94,2912,7.72,7.56,950,-0.24,7.94,8,20,RPM,7.94,"Thu, 27 Jan 2022 09:02:24 GMT",456587,AER001001018,7.5,7.05,517,Response Plus Holding PrJSC,7.99,-2.93,8.18,7.94,Other,RPM,,,33,3525264,456587, , 
0.72,73000,0.7,0.7,225,-0.02,0.7,0.7,0.86,SCIDC,0.7,"Thu, 27 Jan 2022 08:21:33 GMT",60,AES000401019,0.7,0.55,510,Sharjah Cement and Industrial Development Co.,0.7,-2.78,0.72,0.7,Industrial,SCIDC,,,1,42,60, , 
1.93,75000,1.93,1.92,349031,0,1.93,1.94,2.05,NBS,1.93,"Thu, 27 Jan 2022 08:19:27 GMT",150485,AES000201013,1.93,1.3,510,Sharjah Islamic Bank,1.93,0,1.93,1.93,Banks,SIB,,,4,290437,150485, , 
0.35,130536,0.34,0.33,8471,0.02,0.35,0.35,0.43,SUDATEL,0.35,"Thu, 27 Jan 2022 08:28:27 GMT",162506,SD000A0F5KV7,0.33,0.32,510,Sudatel Telecommunications Group Company Limited,0.34,4.82,0.33,0.348,Telecommunication,SUDATEL,,,7,55446,162506, , 
1.24,194027,1.23,1.23,815816,-0.01,1.23,1.24,1.55,TAQA,1.23,"Thu, 27 Jan 2022 09:22:04 GMT",5445587,AEA002401015,1.22,1.15,510,Abu Dhabi National Energy Company,1.24,-0.81,1.24,1.23,Energy,TAQA,,,85,6700261,5445587, , 
1.6,173251,1.6,1.59,162875,-0.01,1.6,1.6,1.96,OILC,1.6,"Thu, 27 Jan 2022 06:15:38 GMT",107500,AEA000701010,1.6,1.09,510,Waha Capital Company,1.6,-0.62,1.61,1.6,Investment & Financial Services,WAHA,,,4,172000,107500, , 
1.04,6500,0.83,0,0,0.12,1.04,1.04,1.08,WATANIA,1.04,"Thu, 27 Jan 2022 09:06:12 GMT",60272,AEN001101015,0.83,0.71,510,National Takaful Company (Watania),1,13.04,0.92,1.04,Insurance,WATANIA,,,3,49970,60272, ,20 
2.7,258659,2.7,2.69,463520,-0.01,2.7,2.7,3.1,YAHSAT,2.7,"Thu, 27 Jan 2022 08:52:24 GMT",47668,AEA007501017,2.69,2.46,510,Al Yah Satellite Communications Company PJSC,2.7,-0.37,2.71,2.7,Telecommunication,YAHSAT,,,19,128690,47668, , 
30.96,100,31.63,29.2,500,-2.9,29.1,33.8,53,ZS,29.1,"Thu, 27 Jan 2022 09:28:50 GMT",678756,AEZ000101010,29.04,7.95,517,ZEE STORE PrJSC,33.7,-9.06,32,29.1,Other,ZS,,,83,21467438,678756, , 
4.73,13586,4.71,4.69,8635,-0.04,4.7,4.73,5.09,ADAVIATION,4.7,"Thu, 27 Jan 2022 10:36:05 GMT",42164,AEA001001014,4.7,3.7,510,Abu Dhabi Aviation Co.,4.73,-0.84,4.74,4.7,Services,ADAVIATION,,,7,198527,42164, ,
8.89,15000,8.83,8.81,13669,-0.16,8.81,8.93,9,ADCB,8.81,"Thu, 27 Jan 2022 10:55:16 GMT",7252463,AEA000201011,8.78,5.97,510,Abu Dhabi Commercial Bank,8.88,-1.78,8.97,8.81,Banks,ADCB,,,500,64019118,7252463, , 
6.85,6950,6.8,6.82,53585,0.02,6.85,6.85,7.13,ADIB,6.85,"Thu, 27 Jan 2022 10:55:00 GMT",1944631,AEA000801018,6.77,4.6,510,Abu Dhabi Islamic Bank,6.81,0.29,6.83,6.85,Banks,ADIB,,,182,13221702,1944631, , 
3.5,16000,3.45,3.41,7500,-0.29,3.41,3.71,4.6,ADNH,3.41,"Thu, 27 Jan 2022 10:44:55 GMT",949616,AEA000301019,3.34,2.4,510,Abu Dhabi National Hotels Co.,3.71,-7.84,3.7,3.41,Services,ADNH,,,71,3278164,949616, , 
6.7,98143,6.71,6.68,80000,-0.08,6.69,6.77,7,ADNIC,6.69,"Thu, 27 Jan 2022 10:11:29 GMT",120071,AEA001101012,6.69,4.63,510,Abu Dhabi National Insurance Company,6.77,-1.18,6.77,6.69,Insurance,ADNIC,,,10,805049,120071, , 
4.11,300000,4.11,4.08,212394,-0.02,4.09,4.12,5.01,ADNOCDIST,4.09,"Thu, 27 Jan 2022 10:59:41 GMT",9593059,AEA006101017,4.08,3.85,510,Abu Dhabi National Oil Company For Distribution,4.11,-0.49,4.11,4.09,Energy,ADNOCDIST,,,176,39380491,9593059, , 
3.38,131173,3.35,3.36,102212,-0.01,3.36,3.38,3.6,ADNOCDRILL,3.36,"Thu, 27 Jan 2022 10:55:00 GMT",6890927,AEA007301012,3.33,2.77,510,ADNOC Drilling Company PJSC,3.35,-0.3,3.37,3.36,Energy,ADNOCDRILL,,,164,23113322,6890927, , 
3.88,2643,3.84,3.79,500,-0.02,3.88,3.88,5.02,ADSB,3.88,"Thu, 27 Jan 2022 10:36:48 GMT",27378,AEA000901016,3.78,1.83,510,Abu Dhabi Ship Building Co.,3.8,-0.51,3.9,3.88,Industrial,ADSB,,,8,105192,27378, , 
5.12,19656,5.11,5,50000,-0.03,5.07,5.12,7.32,AGTHIA,5.07,"Thu, 27 Jan 2022 10:56:29 GMT",484114,AEA001901015,5.07,4.65,510,AGTHIA Group,5.1,-0.59,5.1,5.07,Consumer Staples,AGTHIA,,,87,2473233,484114, , 
4.12,528453,4.12,4.1,1051450,-0.04,4.11,4.14,4.38,ALDAR,4.11,"Thu, 27 Jan 2022 10:56:18 GMT",52506969,AEA002001013,4.11,3.41,510,Al Dar Properties,4.12,-0.96,4.15,4.11,Real Estate,ALDAR,,,469,216393000,52506969, , 
25.16,720,25.14,25.1,25000,0.02,25.12,25.2,30.2,ALPHADHABI,25.12,"Thu, 27 Jan 2022 10:56:39 GMT",7556951,AEA007601015,25,15,510,Alpha Dhabi Holding PJSC,25.2,0.08,25.1,25.12,Investment & Financial Services,ALPHADHABI,,,320,190019316,7556951, , 
4.45,5495,4.45,4.41,2010,-0.14,4.41,4.55,8.09,ALQUDRA,4.41,"Thu, 27 Jan 2022 10:44:23 GMT",711083,AEA006501018,4.38,0.84,517,Al Qudra Holding,4.55,-3.08,4.55,4.41,Other,ALQUDRA,,,127,3166719,711083, , 
1.4,14127,1.39,1.39,200000,-0.01,1.4,1.42,1.84,ARKAN,1.4,"Thu, 27 Jan 2022 10:58:22 GMT",1452888,AEA002801016,1.38,0.7,510,Arkan Building Materials Company,1.4,-0.71,1.41,1.4,Industrial,ARKAN,,,52,2025229,1452888, , 
12.16,15048,12.15,12.12,164,-0.22,12.16,12.36,16.94,ASM,12.16,"Thu, 27 Jan 2022 10:42:36 GMT",539240,AEA00701013 ,11.62,11.3,517,Al   Seer Marine Supplies & Equipment Company P.J.S.C,12.36,-1.78,12.38,12.16,Other,ASM,,,66,6550387,539240, , 
0.26,93777,0.24,0.24,14000,0,0.26,0.26,0.36,BILDCO,0.26,"Thu, 27 Jan 2022 06:34:32 GMT",51000,AEA000501014,0.24,0.15,510,Abu Dhabi National Co. for Building Materials,0.24,0.39,0.26,0.26,Industrial,BILDCO,,,2,12310,51000, ,50 
0.56,4130,0.56,0.55,30000,-0.01,0.56,0.58,0.76,BOS,0.56,"Thu, 27 Jan 2022 10:38:39 GMT",131370,AEB000101011,0.56,0.5,510,Bank of Sharjah,0.58,-1.75,0.57,0.56,Banks,BOS,,,10,73952,131370, , 
4.96,12500,4.87,4.94,12500,0.03,4.92,4.92,5.2,CHAEIN,4.92,"Thu, 27 Jan 2022 09:46:24 GMT",15000,IE00BKDMN700,4.86,3.68,515,CHIMERA S&P UAE UCITS ETF - SHARE CLASS D INCOME,4.86,0.61,4.89,4.92,Other,CHAEIN,,,2,73050,15000, ,
6.67,15000,6.61,6.64,12500,0.01,6.63,6.63,7.1,CHAESH,6.63,"Thu, 27 Jan 2022 10:01:56 GMT",50800,AEC000730023,6.6,4.71,515,Chimera S&P UAE Shariah ETF- Share class A- Accumulating,6.61,0.15,6.62,6.63,Other,CHAESH,,,5,335667,50800, ,
