$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
77,0,130,MANSARD,2.35,2.35,2.35,2.35,2.35,0,,13,461500,1084025,Main Board,FINANCIAL SERVICES,MANSARD ,2022-01-27T00:00:00
78,-4.444444444444445,132,MAYBAKER,4.5,4.5,4.5,4.3,4.3,-0.2,-4.44,18,1366984,5982285.58,Main Board,HEALTHCARE,MAYBAKER ,2022-01-27T00:00:00
79,3.8461538461538463,116,MBENEFIT,0.26,0.26,0.27,0.27,0.27,0.01,3.85,12,605900,163603.36,Main Board,FINANCIAL SERVICES,MBENEFIT ,2022-01-27T00:00:00
80,0,109,MCNICHOLS,0.77,0.77,,,,,,0,,,Growth Board,CONSUMER GOODS,MCNICHOLS ,2022-01-27T00:00:00
81,0,37,MEDVIEWAIR,1.62,1.62,,,,,,0,,,Main Board,SERVICES,MEDVIEWAIR [BMF],2022-01-27T00:00:00
82,0,91,MEYER,0.55,0.55,,,,,,0,,,Main Board,INDUSTRIAL GOODS,MEYER ,2022-01-27T00:00:00
83,0,118,MORISON,1.99,1.99,,,,,,1,15,30.75,Main Board,HEALTHCARE,MORISON ,2022-01-27T00:00:00
84,0,122,MRS,13.55,13.55,,,,,,1,100,1245,Main Board,OIL AND GAS,MRS ,2022-01-27T00:00:00
85,0,90,MTNN,190,190,,,,,,76,77390,14899284.8,Premium Board,ICT,MTNN ,2022-01-27T00:00:00
86,0,110,MULTITREX,0.36,0.36,,,,,,0,,,Main Board,CONSUMER GOODS,MULTITREX [DIP],2022-01-27T00:00:00
87,0,121,MULTIVERSE,0.21,0.21,0.21,0.21,0.21,0,,14,5352673,1124006.33,Main Board,NATURAL RESOURCES,MULTIVERSE ,2022-01-27T00:00:00
88,-2.5,123,NAHCO,4,4,4,3.9,3.9,-0.1,-2.5,22,647693,2536150.71,Main Board,SERVICES,NAHCO ,2022-01-27T00:00:00
89,0.3816793893129771,112,NASCON,13.1,13.1,13.15,13.15,13.15,0.05,0.38,19,471171,6194576.5,Main Board,CONSUMER GOODS,NASCON ,2022-01-27T00:00:00
90,0,52,NB,47.35,47.35,,,,,,26,72951,3478916.6,Main Board,CONSUMER GOODS,NB ,2022-01-27T00:00:00
91,0,120,NCR,3,3,,,,,,0,,,Main Board,ICT,NCR ,2022-01-27T00:00:00
92,0,119,NEIMETH,1.8,1.8,1.85,1.8,1.8,0,2.78,23,2653521,4784406.92,Main Board,HEALTHCARE,NEIMETH ,2022-01-27T00:00:00
93,-1.7142857142857144,117,NEM,3.5,3.5,3.44,3.21,3.44,-0.06,-1.71,15,510478,1670119.62,Main Board,FINANCIAL SERVICES,NEM ,2022-01-27T00:00:00
94,0,115,NESF,552.2,552.2,,,,,,0,,,Real Estate Investment Trust & Close End Fund,FINANCIAL SERVICES,NESF ,2022-01-27T00:00:00
95,0,113,NESTLE,1435,1435,,,,,,33,26379,37350188,Main Board,CONSUMER GOODS,NESTLE ,2022-01-27T00:00:00
96,0.48661800486618007,56,NGXGROUP,20.55,20.55,20.65,20.65,20.65,0.1,0.49,40,1392526,28723618.4,Main Board,FINANCIAL SERVICES,NGXGROUP ,2022-01-27T00:00:00
