$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
88,0,24,NAHCO,4,4,,,,,,9,143613,581587.65,Main Board,SERVICES,NAHCO ,2022-01-26T00:00:00
89,0,13,NASCON,13.1,13.1,,,,,,11,214685,2817212.5,Main Board,CONSUMER GOODS,NASCON ,2022-01-26T00:00:00
90,0,31,NB,47.3,47.3,,,,,,21,158323,7472567,Main Board,CONSUMER GOODS,NB ,2022-01-26T00:00:00
91,0,21,NCR,3,3,,,,,,0,,,Main Board,ICT,NCR ,2022-01-26T00:00:00
92,-1.5789473684210529,20,NEIMETH,1.9,1.9,1.87,1.87,1.87,-0.03,-1.58,16,612295,1149188.15,Main Board,HEALTHCARE,NEIMETH ,2022-01-26T00:00:00
93,0,18,NEM,3.5,3.5,,,,,,7,52328,181713.98,Main Board,FINANCIAL SERVICES,NEM ,2022-01-26T00:00:00
94,0,16,NESF,552.2,552.2,,,,,,0,,,Real Estate Investment Trust & Close End Fund,FINANCIAL SERVICES,NESF ,2022-01-26T00:00:00
95,0,14,NESTLE,1435,1435,,,,,,22,42211,59720399,Main Board,CONSUMER GOODS,NESTLE ,2022-01-26T00:00:00
96,0,129,NGXGROUP,20.55,20.55,,,,,,11,204645,4165219.05,Main Board,FINANCIAL SERVICES,NGXGROUP ,2022-01-26T00:00:00
97,0,15,NIGERINS,0.2,0.2,,,,,,0,,,Main Board,FINANCIAL SERVICES,NIGERINS [MRF],2022-01-26T00:00:00
98,0,12,NNFM,8.65,8.65,,,,,,5,11400,101851,Main Board,CONSUMER GOODS,NNFM ,2022-01-26T00:00:00
99,0,2,NOTORE,62.5,62.5,,,,,,0,,,Main Board,INDUSTRIAL GOODS,NOTORE [BLS],2022-01-26T00:00:00
100,2.051282051282051,33,NPFMCRFBK,1.95,1.95,1.99,1.97,1.99,0.04,2.05,32,1582525,3132986.52,Main Board,FINANCIAL SERVICES,NPFMCRFBK ,2022-01-26T00:00:00
101,0,100,NSLTECH,0.2,0.2,,,,,,0,,,Main Board,SERVICES,NSLTECH ,2022-01-26T00:00:00
102,-1.8947368421052633,38,OANDO,4.75,4.75,4.73,4.66,4.66,-0.09,-1.89,41,830280,3899044.57,Main Board,OIL AND GAS,OANDO [MRF],2022-01-26T00:00:00
103,0,28,OKOMUOIL,142,142,,,,,,1,10,1282,Main Board,AGRICULTURE,OKOMUOIL ,2022-01-26T00:00:00
104,0,36,OMATEK,0.2,0.2,,,,,,0,,,Main Board,ICT,OMATEK [RST],2022-01-26T00:00:00
105,0,35,PHARMDEKO,2.2,2.2,,,,,,0,,,Main Board,HEALTHCARE,PHARMDEKO ,2022-01-26T00:00:00
106,0,37,PREMPAINTS,10,10,,,,,,0,,,Main Board,INDUSTRIAL GOODS,PREMPAINTS ,2022-01-26T00:00:00
107,0,29,PRESCO,87.8,87.8,,,,,,1,51,4459.95,Main Board,AGRICULTURE,PRESCO ,2022-01-26T00:00:00
108,-8.695652173913043,34,PRESTIGE,0.46,0.46,0.42,0.42,0.42,-0.04,-8.7,10,1152440,484283.68,Main Board,FINANCIAL SERVICES,PRESTIGE [BLS],2022-01-26T00:00:00
109,0,30,PZ,7,7,,,,,,7,61108,421636.65,Main Board,CONSUMER GOODS,PZ ,2022-01-26T00:00:00
110,0,98,RAKUNITY,0.3,0.3,,,,,,0,,,ASeM,OIL AND GAS,RAKUNITY [MRF],2022-01-26T00:00:00
111,0,99,REDSTAREX,3.5,3.5,,,,,,6,5658,19643,Main Board,SERVICES,REDSTAREX ,2022-01-26T00:00:00
