$id,CalculateChangePercent,Id,Symbol,PrevClosingPrice,OpeningPrice,HighPrice,LowPrice,ClosePrice,Change,PercChange,Trades,Volume,Value,Market,Sector,Company2,TradeDate
58,-0.5847953216374269,58,GTCO,25.65,25.65,25.7,25.45,25.5,-0.15,-0.58,408,24519109,625346343.7,Main Board,FINANCIAL SERVICES,GTCO ,2022-01-25T00:00:00
59,0,59,GUINEAINS,0.2,0.2,,,0.2,,,1,1500,300,Main Board,FINANCIAL SERVICES,GUINEAINS ,2022-01-25T00:00:00
60,0,56,GUINNESS,42.5,42.5,,,42.5,,,97,766732,32943297.35,Main Board,CONSUMER GOODS,GUINNESS ,2022-01-25T00:00:00
61,1.5384615384615383,57,HONYFLOUR,3.25,3.25,3.3,3.23,3.3,0.05,1.54,44,1522718,5006246.15,Main Board,CONSUMER GOODS,HONYFLOUR ,2022-01-25T00:00:00
62,0,65,IKEJAHOTEL,1.28,1.28,,,1.28,,,3,15174,18517.5,Main Board,SERVICES,IKEJAHOTEL ,2022-01-25T00:00:00
63,0,22,IMG,9.5,9.5,,,9.5,,,2,112762,1074377.1,Main Board,NATURAL RESOURCES,IMG ,2022-01-25T00:00:00
64,0,6,INFINITY,1.32,1.32,,,1.32,,,0,,,Main Board,FINANCIAL SERVICES,INFINITY [BLS],2022-01-25T00:00:00
65,0,145,INTBREW,5,5,5.1,5,5,0,1,46,3424670,17224248.5,Main Board,CONSUMER GOODS,INTBREW [BLS],2022-01-25T00:00:00
66,0,146,INTENEGINS,0.38,0.38,,,0.38,,,0,,,Main Board,FINANCIAL SERVICES,INTENEGINS [MRS],2022-01-25T00:00:00
67,0,2,JAIZBANK,0.69,0.69,0.71,0.69,0.69,0,2.9,57,11984620,8399763.03,Main Board,FINANCIAL SERVICES,JAIZBANK ,2022-01-25T00:00:00
68,5.128205128205128,153,JAPAULGOLD,0.39,0.39,0.41,0.39,0.41,0.02,5.13,21,1496572,598042.77,Main Board,OIL AND GAS,JAPAULGOLD ,2022-01-25T00:00:00
69,0,144,JBERGER,22.8,22.8,,,22.8,,,36,212756,4866902.25,Main Board,CONSTRUCTION/REAL ESTATE,JBERGER ,2022-01-25T00:00:00
70,0,143,JOHNHOLT,0.72,0.72,,,0.72,,,1,4444,2888.6,Main Board,CONGLOMERATES,JOHNHOLT ,2022-01-25T00:00:00
71,0,154,JULI,0.91,0.91,,,0.91,,,1,1,0.9,ASeM,SERVICES,JULI ,2022-01-25T00:00:00
72,0,147,LASACO,1.13,1.13,1.13,1.13,1.13,0,,12,505191,572075.38,Main Board,FINANCIAL SERVICES,LASACO ,2022-01-25T00:00:00
73,0,155,LEARNAFRCA,1.29,1.29,,,1.29,,,2,20408,26530.4,Main Board,SERVICES,LEARNAFRCA ,2022-01-25T00:00:00
74,0,149,LINKASSURE,0.56,0.56,,,0.56,,,7,194516,103105.98,Main Board,FINANCIAL SERVICES,LINKASSURE ,2022-01-25T00:00:00
